ID,What is the rating of the news?,Any visual data required to judge the verdict?,Does the news disseminator know that the news is false?,"If no (Misinformation), how does the disseminator misunderstand the news?","If yes (Disinformation), how was the news created?",What is the purpose of the false news?,What is the indicator clue for the purpose?,Any hidden Context?,To what extent is the news harmful to society?,Category of harm?
455,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,1990ల్లో తరచూ నిరసనలు జరగడం వల్ల పర్యాటకం కొంచెం తగ్గినప్పటికీ,None,1,Confusion and anxiety about society
456,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఇది కేవలం మతపరమైన జెండా.,None,2,Prejudice against country and race
457,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,2019 సార్వత్రిక ఎన్నికల సందర్భంగా బెంగళూరు నుండి శివమొగ్గకు డబ్బు,None,1,Harmless
458,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,వీడియోని ఇండోనేషియా దేశం జావా టీముర్ ప్రొవిన్సులోని సెంట్రల్ అల్-హాస్బి మదరసాలో 2019లో తీశారు,None,1,Harmless
459,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,పాఠ్యపుస్తకాలలో సవరణలు చేయడాన్ని నిరసిస్తూ జూన్ 2022లో జరిగిన ఒక సభలో డీ.కే.శివకుమార్ సవరించిన పాఠ్యపుస్తకం కాపీని చించివేసారు.,None,1,Threat to correct understanding of politics and social events
460,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",Misleading,Fabricated content,Propaganda,అతను ఈ వ్యాఖ్యలు చేసినట్టు ఎటువంటి ఆధారాలు లేవు.,None,2,Prejudice against country and race
461,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,అలా పర్షియాలో అంతకు ముందు ఉన్న జొరాస్ట్రియనిజం మొదలైన మతాలు క్రమంగా కనుమరుగైపోయి ఇస్లాం రాజ్యంగా మారిపోయింది.,None,1,Harmless
462,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Propaganda,పాకిస్థాన్‌లో తయారుచేసిన ఈ మాదకద్రవ్యాలను ఇరాన్‌లోని చాబహార్ పోర్టు నుండి ఒక భారీ నౌక ద్వారా రవాణ చేసినట్టు,None,2,Confusion and anxiety about society
463,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,None,కాంగ్రెస్ పార్టీ బీజేపీకి వ్యతిరేకం,1,Threat to correct understanding of politics and social events
464,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,2019లో కర్ణాటక రాష్ట్రం కూడచిలో ఈద్ మిలాద్-ఉన్-నబీ పండగ సందర్భంగా ముస్లింలు సంబరాలు,None,2,Prejudice against country and race
465,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,No purpose,శ్రీలంకలోని గలహ ప్రాంతం,None,1,Harmless
466,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,"ఇప్పటికే అనేక దేశాల మధ్య పునరుత్పాదక శక్తి సరఫరా కోసం ఇటువంటి ప్రాజెక్టులు నిర్మించబడ్డాయి, ",None,1,Confusion and anxiety about society
467,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",Trusting other sources,Fabricated content,Satire / Parody,"ముస్లింలు తమ వక్ఫ్ బోర్డును సక్రమంగా నిర్వహిస్తే, ",None,2,Prejudice against country and race
468,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,"గతంలో జరిగిన దుర్గావాహిని శౌర్య యాత్రలో కూడా వందలాది మహిళ కార్యకర్తలు కత్తులు, కట్టెలు పట్టుకొని ర్యాలీ మార్చ్ చేశారు",None,1,Confusion and anxiety about society
469,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,షాబాజ్ షరీఫ్ ఎటువంటి ట్వీట్ చేయలేదు.,None,2,Threat to correct understanding of politics and social events
470,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,No purpose,హిజాబ్ అల్లర్లలో నిలబడింది,None,1,Harmless
471,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Satire / Parody,ఈ రైలు పరిశోధనలకు మాత్రమే ప్రత్యేకంగా నిర్మించబడినది.,None,1,Harmless
472,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,"12 స్థానాలలో, 7 బీజేపీ గెలుపొందగా",None,1,Threat to correct understanding of politics and social events
473,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,కవచం యొక్క మొత్తం బరువు 34.618 కిలోలు,None,1,Harmless
474,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,గ్రామస్తులు వారిని అడ్డుకొని EVMలను మరియు VVPATలను ధ్వంసం చేసారు.,None,2,Threat to correct understanding of politics and social events
475,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,పేద ముస్లిం విద్యార్థులతో పాటు ఆర్ధికంగా వెనుకబడి ఉన్న విధ్యార్ధులకు విదేశీ చదువుల సహాయార్ధం రూ. 25 లక్షలు స్కాలర్షిప్‌గా అందిస్తామని తెలిపింది.,None,2,Threat to correct understanding of politics and social events
476,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Satire / Parody,కాబట్టి ఈ తరంగాల వల్ల మనుషులకు పెద్దగా ఏమి హాని ఉండదని నిపుణులు చెప్తున్నారు.,None,1,Harmless
477,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,అజిత్ కుమార్ ఎప్పుడూ ఇలాంటివి చెప్పలేదు,None,1,Threat to honor and trust in people and companies
478,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody,ఒక డిజిటల్ క్రియేటర్,None,1,Harmless
479,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,ల్లీ ఎక్సైజ్ పాలసీ కేసు ప్రామాణికతపై ఢిల్లీ రౌస్ అవెన్యూ జిల్లా కోర్టు ఎటువంటి వ్యాఖ్యలు చేయలేదు,None,1,Confusion and anxiety about society
480,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Propaganda,భారతదేశం అంతటా గోహత్యను నిషేధించే చట్టాన్ని తేవాల,None,1,Threat to honor and trust in people and companies
481,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody,నాకు మర్యాదగా ధర్మం చేయండి లేదంటే ఈ సారి కూడా జగన్‌కు వోటెస్తా అని రాసి ఉంది.,None,1,Threat to correct understanding of politics and social events
482,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Satire / Parody,"చంద్రబాబు నాయుడు పాపాలు పండాయి, జైలుకి వెళ్లే రోజులు దగ్గరపడ్డాయి అనే దానికి ఇంతకన్నా నిదర్శనం ఏమి కావలి.",None,1,Threat to correct understanding of politics and social events
483,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,విగ్రహం దెర్వాన్ గ్రామంలో ఉన్న వాలవల్కర్ మెడికల్ కాలేజీ & ఆసుపత్రిలోనిది,None,1,Threat to honor and trust in people and companies
484,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,Satire / Parody,ఉత్తరాఖండ్‌లో జరిగింది,None,1,Harmless
485,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,BBC/FOX/CNN మొదలైన సంస్థల పేర్లతో సోషల్ మీడియాలో ఫేక్ సర్వేలు,None,2,Threat to correct understanding of politics and social events
486,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,2,Prejudice against country and race
487,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,హిట్లర్ పిల్లలతో ఉన్న ఫోటో మరియు హిట్లర్ చేతిపై పక్షి ఉన్న ఫొటో ఎడిట్ చేయబడినవి,None,1,Threat to correct understanding of politics and social events
488,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody," ఉన్న 50% పరిమితిని ఎత్తేసి, SC/STలకు, ఇతరులకు వారి జనాభాను బట్టి రిజర్వేషన్‌ అమలు చేస్తామని",None,2,Confusion and anxiety about society
489,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,పుస్తకానికి సంబంధించి ఉండవల్లి అరుణ కుమార్ చేసిన వ్యాఖ్యలను ఎడిట్,None,2,Prejudice against country and race
490,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,No purpose,None,None,1,Harmless
491,half true & half false,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,ఎటువంటి ఆధారాలు లేవు,None,1,Health
492,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,తన భార్య మరియు ముగ్గురు మోడెల్స్‌తో కలిసి దిగిన ఫోటో,None,1,Threat to honor and trust in people and companies
493,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Inadequate understanding,None,No purpose,None,None,2,Not sure
494,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Fabricated content,Propaganda,కొత్త ఈవిఎం మెషిన్ల తయారీ కోసం భారత ఎన్నికల సంఘం అదానీ సంస్థతో ఒప్పందం కుదుర్చుకున్నట్టు ఎటువంటి ఆధారాలు లేవు.,None,1,Threat to correct understanding of politics and social events
495,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,మన్ కీ బాత్ ఒక్కో ఎపిసోడుకి అయ్యే ఖర్చు 8.3 కోట్లు కాదని,None,1,Threat to correct understanding of politics and social events
496,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఫోటో 2012లో రాహుల్ గాంధీ కాశ్మీర్ యూనివర్సిటీ,None,1,Threat to correct understanding of politics and social events
497,half true & half false,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",Trusting other sources,None,No purpose,"అక్కడి అధికారులు చెప్తున్నదాని ప్రకారం, చాలా మంది అనుమతి లేకుండా పాత సమాధులపై మృతదేహాలను పూడ్చేస్తుండడంతో ఒక వ్యక్తి ఇలా ",None,1,Threat to correct understanding of politics and social events
498,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,False context,Satire / Parody,ఒక అండర్ 15 నేషనల్ రెజ్లింగ్ చాంపియన్‌షిప్ పోటల సమయంలో ఈ సంఘటన చోటు చేసుకుంది.,None,1,Threat to honor and trust in people and companies
499,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,సంఘటన అసలు పశ్చిమ బెంగాల్లోనే జరగలేదు.,None,1,Confusion and anxiety about society
500,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,‘Rmkr Pegs’ అనే ఒక యూట్యూబ్‌ ఛానల్ నడుపుతున్న వ్యక్తి వైఎస్ఆర్సీపీ ప్రభుత్వం వివిధ వర్గాలకు సంబంధించి ఈ వీడియోను రూపొందించాడు.,None,1,Threat to correct understanding of politics and social events
501,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,ఉదాహరణకు 2006లో ‘ఆపరేషన్ సుకూన్’ పేరుతో చేపట్టిన రెస్క్యూ ఆపరేషన్ ద్వారా 1836 మంది భారతీయాలని లెబనాన్ నుంచి తరలించారు.,None,2,Confusion and anxiety about society
502,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Satire / Parody,డ్రైవర్ గొడుగు పట్టుకొని రైలు నడుపుతున్నట్లు ఎటువంటి వార్త కథనాలు రాలేదు.,None,1,Threat to correct understanding of politics and social events
503,half true & half false,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated text,Propaganda,అందులోని వ్యక్తి పేరు షేక్ మెహబూబ్ సుభాన్.,None,2,Threat to honor and trust in people and companies
504,FALSE,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Satire / Parody,చైనా దేశంలో ఉన్న కొన్ని వేరు వేరు పర్యాటక ప్రదేశాల యొక్క దృశాల,None,1,Harmless
505,FALSE,Textual data is enough,"No, the news disseminator probably does not know the news is false (Misinformation)",Trusting other sources,None,Propaganda,"ఉత్తరప్రదేశ్ రాష్ట్ర సొంత ఆదాయ వనరులలో ఎక్సైజ్ రెవెన్యూ వాటా 22.6% కాగా, తెలంగాణలో ఎక్సైజ్ రెవెన్యూ వాటా 18.3% మాత్రమే",None,1,Threat to correct understanding of politics and social events
506,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,Manipulated image,Propaganda,వారు అప్లోడ్  చేసిన పోస్టులో ‘బీజేపీ ప్రభుత్వం పడిపోతే తప్ప దేశానికి భవిష్యత్ లేదు’,None,1,Harmless
507,FALSE,Visual data required,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,పోస్టులో షేర్ చేసిన ఫోటోకి ఇటీవల జరిగిన పూంచ్ దాడితో ఎటువంటి సంబంధం లేదు.,None,2,Confusion and anxiety about society
508,FALSE,Textual data is enough,"Yes, the news disseminator probably knows that the news is false (Disinformation)",None,False context,Propaganda,"భారత దేశంలో ముస్లింల సంతానోత్పత్తి రేటు 2.4 ఉందని, హిందువుల సంతానోత్పత్తి రేటు 1.9 ఉందని పేర్కొంది.",None,1,Harmless
509,half true & half false,Visual data required,"No, the news disseminator probably does not know the news is false (Misinformation)",Misleading,None,Satire / Parody,"సుమలత మరియు దర్శన్ బీజేపీకి తమ మద్దతును ప్రకటించి,  కాగా యష్ మాత్రం ఏ పార్టీకి తన మద్దతు ప్రకటించినట్టు గాని లేదా ప్రచారంలో పాల్గొన్నట్టు గానీ రిపోర్ట్స్ లేవు. ",None,1,Threat to correct understanding of politics and social events
